id,country,name,city
6,NL,Chicago Social Club,Amsterdam
12,NL,Club Red,Leeuwarden
36,NL,Club NL,Amsterdam
53,NL,Balkenhaven,Zaandam
368,NL,Scum,Katwijk
499,NL,De Leeren Lampe,Raalte
511,NL,IJsselhallen,Zwolle
988,NL,Strandpaviljoen Deining,Castricum
1166,BE,Red & Blue,Antwerp
1342,NL,Zaal Jan van Hoek,Asten
1635,NL,Reguliersdwarsstraat,Amsterdam
1783,NL,Strand Zuid Amsterdam,Amsterdam
1812,NL,Tramzicht Domburg,Domburg
2270,DE,Fühlinger See,Köln
3145,NL,Uithof,Den Haag
3281,NL,Canvas,Amsterdam
3453,NL,MediArena Studio 1,Amsterdam
4213,FR,Connexion Live,Toulouse
5350,NL,WTC Expo,Leeuwarden
5669,NL,Sportpaleis,Alkmaar
5764,NL,Chalet Fontaine,Kaatsheuvel
6842,US,Bayfront Park,Miami
6930,NL,Club & Danscafé Vios,Hengelo
6957,GB,Corsica Studios,London
7392,NL,Plaza Café,Helmond
7763,NL,De Oude Rechtbank,
8338,NL,Recreatiegebied Stroombroek,
9306,NL,Veemkade,
9931,IE,Stradbally Hall,
10476,BE,Museum voor Schone Kunsten,
11734,NL,De Weijer Boxmeer,
12013,NL,SkyPalace,
12026,GB,Hampden Park,
12116,NL,News Cafe,
13716,PT,Centro Cultural Olga Cadaval,
13912,DE,Eventcenter Zak,
14172,DE,Radio Sabor Köln,
14773,NL,Rembrandtplein,
15880,ES,Port Aventura,
16156,NL,The Beach Aalsmeer,
16474,AU,Oxford Art Factory,
16834,NL,Moergestel,
17160,GB,Moles,
17310,DE,Halle 7,
17670,BE,Stadhuis van Mechelen,
17829,GB,Printworks,
18175,BE,CC De Meent,
18984,ES,El Medi,
19100,GB,Electrowerkz,
19283,CA,Vieux-Port de Montréal,
19456,CA,Rickshaw Theatre,
19601,US,Berklee Performance Center,
19754,GB,Haydock Park,
19790,GB,Princess Pavilion,
20096,NL,VUE Bioscoop,
20314,ES,Rachdingue,
21767,US,Majestic Theatre,
21924,HU,Romkert,
22195,RS,Drugstore Beograd,
22908,DE,Philharmonie Essen,
23397,ES,Aldiana Alcaidesa,
23658,ES,La Cochera Cabaret,
23743,DE,Festspielhaus Baden-Baden,
24201,GB,Clapham Common,
24303,NL,Het Podium,
25162,AT,TipsArena Linz,
25937,DE,MHPArena,
26859,BE,Stad Brugge,
27156,GB,The Sugarmill,
29327,IT,Carisport - Cesena,
30371,BE,LUX GENT,
30407,GB,McQueen - Shoreditch,
30737,CH,LAC Lugano Arte e Cultura,
32067,AU,"Sydney Olympic Park, Homebush",
38604,BE,Limburghal,
38754,BE,Felix Pakhuis,
40062,DE,Schwarzwaldhalle Karlsruhe,
41389,IT,Mantova Piazza Sordello,
41506,IT,Teatro Augusteo Salerno,
41857,IT,Teatro Bellini di Napoli,
43674,AT,The Loft,
44237,ES,Shôko Barcelona,
44836,AU,The Metro Theatre,
45650,GB,Manchester city centre,
47521,BE,Gemeente Zonhoven,
53411,NL,Boompjeskade 14,
57291,DE,Neukirchen,
60974,NL,Beursgebouw Eindhoven,
61024,GB,The ICC,
65027,ES,Palexco,
66898,AT,Kitzbühel,
72261,ES,Pabellón de Cristal,
79643,GB,Ice Skating At Somerset House,
93364,IT,Teatro Regionale Alessandrino,
98230,FR,Aubervilliers,
100978,NL,Bijlmer Parktheater,
111109,BE,Winterbar Mirage Mechelen,
111862,ES,Teatro Victoria,
114695,CA,PNE/Playland,
115104,CA,City At Night,
116379,BE,Cultuurhuis Tessenderlo,
125836,US,Kennedy Center,
132619,DE,Hallesches Haus,
132956,NL,Lammermarkt,
133670,NZ,Bay Dreams,
133915,NL,Nationaal Militair Museum,
134089,GB,Settle Victoria Hall,
134175,IE,The Helix Dublin,
134782,NL,VuurFestival Meddo,
137176,NL,Blaricum,
140793,BE,Cultuurcentrum De Ververij,
142866,BE,Gemeenschapscentrum De Route,
143953,MC,monte carlo,
144590,DE,CHAMÄLEON Theater,
144792,DE,Capitol Theater Offenbach   ,
145744,PL,Hala Ludowa,
145867,GB,26 Leake Street ,
146853,DE,Komödie im Bayerischen Hof,
146886,DE,Hush Hush,
147142,PT,Pavilhão Multiusos de Guimarães,
147993,DE,Polygon Club,
148013,ES,Café & Pop Torgal,
148035,BE,Zebrawoods,
148333,NL,Fellini,
148391,DE,Kulturwerft Gollan,
148649,PT,Ministerium Club,
150249,ES,Cam aula de Cultura Alicante ,
150719,AU,Marvel Stadium,
151001,ZA,"Tankwa Karoo National Park, South Afrika",
151113,IE,Rochestown Park Hotel,
151657,GB,Stansted Airport,
152363,FR,Saint-Pair-sur-Mer,
153320,IT,Parco San Giuliano,
154305,US,Broadway New York,
154392,GB,InterContinental London - (Arora Ballroom),
154625,DE,Berliner Kriminaltheater ,
155155,AU,Hamer Hall | Arts Centre Melbourne,
155381,NL,Bruut,
155964,ES,Kinepolis,
157005,AT,Wiener Neustädter Stadion,
157505,HU,CAT Budapest,
157783,AU,Hotel Barkly St. Kilda,
157807,MX,Mia Restaurant & Beach Club,
157876,BE,CC Ploter,
158263,HU,Ludovika Aréna,
158966,TH,Baba Beach Club Phuket,
159173,NL,Hoogerheide,
159497,HU,Tesla Loft,
159582,FR,L’Arena,
160137,NL,Café Van der Geest,
160182,ES,Municipal Sports Complex The Form,
160318,ES,Playa Fórum,
162220,IT,Common Ground,
162418,NL,De Nijverheid,
163905,BE,Park Groot Schijn,
164284,ES,Estadio Enrique Roca de Murcia,
164690,CZ,Vojenské letiště Milovice,
166322,NL,"Henseniusplein, Venray",
166402,FR,Nexus,
167044,GB,Void/Mocha nightclub,
167220,ES,Blackhaus,
167900,NL,Het Bastion ,
168516,SE,Slottskogsvallen IP,
169635,ES,Centro Niemeyer,
169789,NL,POING,
170770,ES,Costa Este,
171231,GB,"Ushaw Historic House, Chapels & Gardens",
171820,NL,Feesttent C. V. De Piepenplassers,
172008,ES,Cinesa Proyecciones,
172010,DE,Tresor.West,
172084,ES,Viveiro,
175489,NL,Fosbury and Sons,
177358,GB,Moonshine ,
47,DE,Tresor.Berlin,Berlin
314,NL,El Corazon,Roosendaal
805,DE,Müllheim an der Ruhr,Mülheim
809,NL,Der Aa-Kerk,Groningen
1971,NL,Cultuurpark Westergasfabriek,Amsterdam
2175,NL,Plein 1940,Rotterdam
3511,NL,Disco Dolly,Amsterdam
3547,NL,Museumplein,Amsterdam
3701,NL,De Oude Markthal op het Food Center terrein aan de Jan van Galenstraat,Amsterdam
5186,FR,Le Quatrain,Haute Goulaine
5658,DE,Oberhausen,Oberhausen
6008,NL,Hermitage Amsterdam,Amsterdam
6248,NL,Stratumseind,Eindhoven
6631,NL,Marie Heinekenplein,Amsterdam
6793,AU,Adelaide Showground,Adelaide
6884,NL,Bouw & Infra Park,Harderwijk
8549,DE,Bergheider See,
9467,CZ,PVA Expo Praha,
9771,NL,Nesselande,
10100,NL,Maaspodium,
10399,DE,Saarbrücken,
11595,NL,MFC De Kreek,
11877,NL,La Bamba,
12031,NL,Suikerunie,
12098,NL,Grand Hotel Huis Ter Duin,
12613,FI,Espoo Metro Areena,
13868,NL,De Post,
13889,DE,Münchner Kammerspiele,
15308,FR,Secret Place,
15761,NL,Hoorn,
15954,DE,Funkhaus,
16266,NL,Kopstootbar,
16666,GB,The Brickworks,
16716,ES,Stereo Alicante,
17422,NL,KINO,
17542,GB,"Newcastle University Student's Union",
17968,NL,Kinepolis Breda,
18065,HU,Gödör Klub,
18249,DE,Olympiapark München,
18416,BE,The Villa Antwerp,
19030,GB,Corporation,
19666,ES,Cine Estudio - Círculo de Bellas Artes,
19838,GB,Ironworks Venue,
20377,GB,The Glee Club Cardiff,
20543,GB,Headrow House,
21186,HU,Óbudai Kulturális Központ,
21844,GB,Goodison Park Stadium,
22036,ES,Sala Hangar,
22196,US,House of YES,
22368,NL,Lemelerveld,
23266,DE,Weissenhäuser Strand,
23555,HU,"Mosonmagyaróvár, Hungary",
23732,SE,Brewhouse,
23890,PT,"Vila Nova de Gaia, Portugal",
24816,BE,Oudenaarde,
26766,IE,Number Twenty-Two,
27128,BE,Espace Georges Truffaut,
27262,GB,Royal Victoria Dock,
27434,US,The Englert Theatre,
27710,GB,Brangwyn Hall,
27822,BE,Eskimofabriek,
30543,GB,The Middlesbrough Empire,
37655,GB,Halo Bournemouth,
38901,FR,Bellona Club,
40836,IT,Circo Massimo Roma,
48742,GB,Tramway,
51041,GB,Soho Theatre,
52592,GB,Ipswich Town Hall & Corn Exchange,
57251,FR,Théâtre Fémina,
60828,ES,Auditorio de Tenerife,
61082,LU,Lenox Club Luxembourg,
63728,NL,Sporthal Spantveld,
68012,BE,Maldegem,
72060,GB,Motherwell Concert Hall and Theatre,
74968,BE,Oude Vismijn,
76088,NL,Schouwburg De Domijnen,
79616,NL,Superdisco,
82359,NL,Grote Kerk,
88722,GB,Cheltenham Racecourse,
90023,ES,Occo,
90146,NL,Roepaen Podium,
96408,SE,Musikhjälpen,
99933,NL,Lunenburg,
99972,NL,Hofman Café,
100558,NL,Elsom Open Air,
105934,BE,Bar Rodin,
111588,NL,DOK6 Horeca,
111714,BE,Autoworld,
115171,CA,The Great Hall,
116441,NL,De Ceuvel,
116481,NL,Werkplaats,
123480,BE,De Biekorf,
123554,HU,Bem Mozi,
126780,DE,Gürzenich,
126850,ES,Sala B3 ,
133407,NL,CHV Noordkade Veghel,
133817,CZ,Hala Vodova,
134242,NL,Vue Eindhoven,
134400,NL,Walsbergseweg,
135569,FR,Loft Club,
136991,ES,Puerto de Alicante,
137477,ES,Territorio Musical ,
139151,GB,Hillsborough Park,
139447,NO,Voldsløkka,
140453,DE,Alianz arena,
141485,AU,Langley Park,
143998,US,cirque du soleil at mandalay bay,
144917,HU,"SOLT - Vécsey Károly Művelődési Ház és Könyvtár, Vécsey Károly Művelődési Ház és Könyvtár - SOLT",
145419,HU,Szépművészeti Múzeum,
146632,GB,The Night Owl,
147519,BE,Antwerpen Centraal,
148195,ES,Auditori Cornellà,
148556,DE,E-DRY,
149444,ES,Teatro Marquina,
149482,DE,Sputnik Kino,
149879,BE,Scharpoord,
150552,NL,Kreitenmolenstraat,
151243,DE,Westcoast-Heide,
154659,AU,Sydney Showground,
154842,GB,Walcot House,
154860,NL,Het Speelhuis,
155432,IT,Palazzo dei Congressi ,
155459,ES,Yelmo Cines Ideal,
156414,AU,Wellington Square,
158719,CR,The BPM Festival,
158756,AU,"Ken Rosewall Arena, Sydney Olympic Park",
159293,NL,Beachclub Later Aan Zee,
159527,AU,Riva St Kilda,
160223,SE,Valandhuset,
160312,NL,Willem-Alexanderplein,
160457,NL,Alle Remmen Los Festival,
160741,NL,Witte Paard,
160917,BE,Klub Melk,
161310,BE,Kinepolis,
162417,AU,The Forum ,
162552,ES,"Muelle Levante, 12",
166213,GB,One Cartridge Place,
166640,GB,The Lofts,
167631,GB,Lost Horizon,
168102,BE,TheCommon,
168544,ES,Palacio De Congresos,
168697,GB,O2 Academy Edinburgh,
169549,ES,Malalts de Festa,
169561,NL,Parkeerplaats FC Emmen,
169701,BE,Kinépolis Liège,
169851,ES,Sala Soho Alternative,
169902,NL,Boulevard Outdoor,
170089,NL,Markt Centraal,
170092,HU,Gamerland,
170129,GB,New Theatre ,
170192,DE,Zenner Biergarten und Weingarten,
171646,HU,Red Club Theatre,
171694,GB,The Joe Longthorne Theatre,
172288,BE,Théâtre du Vaudeville,
173662,DE,Altes Stadttheater Eichstätt,
175383,GB,Bongo’s Bingo London Bridge,
176975,CH,Kinker,
177164,BE,Kasteel Domein Groenenberg ,
177795,MX,Jungle of Tulum,
178288,NL,MYLC Eindhoven,
178359,BE,Zaal Roeland,
178602,BE,Steel Gate,
179035,NL,Grasnapolsky 2023 · Fabriek De Toekomst,
179298,NL,Vice Versa,
179595,NL,Transformatorhuis Westergas,
179738,AT,Secret Prater Warehouse,
179948,NL,Podium Azijnfabriek,
179965,ES,Teatro El Soho,
180123,BE,Archipel,
180312,IT,Piccolo Teatro Grassi ,
180681,NL,Bonabo Social Club ,
180753,NL,"Kininelaantje 9, 's- Gravenland ",
180843,ES,Sala Mytho ,
26,NL,Studio/K,Amsterdam
111,NL,Lichtfabriek,Haarlem
112,NL,Taets Art and Event Park,Zaandam
249,NL,Danzig,The Hague
553,NL,Westerliefde,Amsterdam
563,NL,Café Bij Tante,Elst
985,NL,Kokomo Beach,Willemstad
2892,FR,YOYO - Palais de Tokyo,Paris
3506,DE,Butan Club,Wuppertal
5624,NL,Huis Verloren,Hoorn
6641,DE,BASF Feierabendhaus,Ludwigshafen
6722,BE,Les Ateliers Claus,Brussels
8328,NL,Haarlem,
8435,NL,Old Cave,
11781,DE,"Zimmermann's",
12003,NL,De Hofnar,
12746,NL,Haarlemmermeerse Bos,
12912,NL,Schaffelaartheater,
13106,NL,Zegerplas,
13526,DE,Munich,
15523,NL,Voorstraat,
15967,BE,Cultuurcentrum Guldenberg,
16044,ES,Multiusos Fontes do Sar,
16270,NL,Beverwijk & Velsen,
17521,NL,Proost in Breda,
17550,BE,CC Berchem,
18415,BE,Skyclub,
18536,ES,Malandar Music Club,
18550,ES,Sala Stroika,
18659,NL,Corpus,
18743,GB,Mono Cafe Bar,
19363,CA,The Phoenix Concert Theatre,
19712,GB,Opera House Theatre,
20705,NL,De Vliert,
21989,ES,Circoloco Ibiza,
22263,NL,Fletcher Hotel-Restaurant Nautisch Kwartier,
22451,US,45 East,
22577,NO,Telenor,
22649,US,Daytona International Speedway,
22733,NO,Parkteatret,
22854,SI,"Ljubljana, Slovenia",
23925,ES,Sala Es Gremi,
24373,DE,Konzerthalle Bamberg,
26271,HU,RS9,
27072,HU,Kolibri Színház,
27925,GB,Crewe Lyceum,
29680,HU,Albabar,
32713,BE,LE GARAGE CREATIVE MUSIC,
43671,IT,Superstudio Group,
45196,FR,"L'Ampérage",
45283,BE,Atelier Rock Huy,
49872,HU,Tállya,
68278,IT,Monza,
68352,FR,ZooParc de Beauval,
68577,NL,Burgh-Haamstede,
68842,ES,Pabellón Santiago Martín,
78469,BR,Rio de Janeiro,
80097,AT,Audimax,
82493,NL,Expo Haarlemmermeer,
83918,NL,Fletcher Hotel-Restaurant De Wageningsche Berg,
84534,GB,The Level Nottingham,
85199,GB,We are Fstvl,
90083,NL,Fryslan Fean Plaza,
91357,AU,AAMI Park,
91477,AU,The Croxton Bandroom,
91583,AU,Corner Hotel,
92790,IT,Teatro Goldoni Livorno,
99579,IT,The Space Odeon Milano Duomo,
99636,GB,Sheffield Wednesday FC,
100203,ES,A Candeloria Lugo,
106612,NL,Sportcentrum Vreeloo,
106657,DK,Annexet,
107952,FR,6PAR4,
115074,CA,Newspeak,
119160,BE,Kinepolis Leuven,
121292,GB,"The King's Theatre",
125974,CZ,Studio DVA Divadlo,
126449,BE,GC De Boesdaalhoeve,
126457,NL,De Uitspanning,
133291,US,Abbey,
133774,IT,Punta della Dogana,
137194,FR,Azar Club,
138038,ES,The Club M7,
140318,NL,Mystic Garden Festival,
140594,GB,Saddlers Wells Theatre,
141176,GB,Northern Stage,
141272,ES,Lienzo Norte,
141576,DE,KuFa Kulturfabrik,
142168,BE,Kinepolis Oostende,
142679,ES,Teatro Español,
144874,BE,La Fabrik,
145607,FR,Ninkasi Gerland,
145939,GB,The Mill Digbeth,
146310,NL,The Commons Restaurant,
146858,NL,Shooters,
147034,AU,Catani Gardens,
147413,IE,"Saint Anne's Park",
147805,IE,Bord Gáis Energy Theatre,
147848,DE,Osthafen Berlin,
148112,CW,Parasasa Beach,
148301,ES,Teatro de la Comedia,
148332,NL,Sportcentrum De Lunet,
148874,BE,CC De Steiger | Boom,
150391,DE,Inkognito ,
151607,CH,Audio Club,
151898,AT,Festspielhaus St. Pölten,
152138,NL,Theater De Paardenkathedraal,
152445,AU,Lost Paradise,
153253,EE,Tallinn Song Festival Grounds,
153306,BE,Muziekcentrum Track,
153833,GB,Content ,
155394,FR,"Théâtre de Paris, 75009 Paris",
155398,ES,Aliatar,
156413,BE,Centrum Ysara,
156612,NL,Best Western Plus Hotel Haarhuis,
158020,NL,Lovelee,
158474,ES,Alterate Club,
159924,NL,Marktstad,
161783,BE,Pilar,
161842,NL,Youseum,
161871,DE,Alia Club ,
163669,BE,Club Enfin,
164026,LT,"VU Botanikos sodas, Vingio parkas",
164636,ES,Bodegas González Byass,
166194,DE,Philharmonie,
166627,ES,Recinto Hípico de Mairena del Aljarafe,
168053,NL,"D'in Hiemel",
168454,NL,Poing Arcade,
168456,NL,Altijd in de Buurt ,
169164,PT,São Mamede CAE,
169593,NL,Graaf de Brimeuplein,
169786,GB,Q Shoreditch,
169888,BE,Durbuy,
170526,DE,Rulantica,
172508,RO,Costinesti,
172841,DK,Søndermarken,
173294,PT,"Vila Praia de Âncora, Portugal",
173320,US,Hilarities 4th St. Theater,
173515,DE,Sparkassen-Arena,
174320,GB,"The Dome, Tufnell Park ",
175561,ES,Eixample,
177185,NL,"Podium De Domeinen, Toon Hermans Theater",
177871,NL,Liquicity Festival Geestmerambact,
178802,PL,"Open'er Festival",
179040,BE,"Château d'Enghien",
179573,US,Swissotel Chicago,
180002,FR,Château de Saint-Brisson,
180046,AE,D3 Dubai Design District,
180099,NL,De Gouden Tijger,
180271,ES,Auditorio de Cornellà ,
180294,NL,De Uurwerker,
180382,EG,Hatshepsut Temple,
180386,CW,Goatbay #1,
180403,NL,Boulevard Vlissingen,
180562,BE,vestiging Kinepolis naar keuze in België ,
180589,CA,Place Jean Béliveau,
180647,NZ,Arena Manawatu,
181065,HU,Fügeudvar,
181069,IT,Torino,
181235,UY,Open Park ,
181242,BE,Herkenrode Abbey,
181282,NZ,Tremain Feild,
181360,US,Red Hook Brooklyn,
181384,ES,auditori,
181461,NL,Hampshire boshotel ,
181470,DE,botrop skihal,
181479,AT,Altes Kino,
181585,ES,"Jaggy's techno culture",
181622,NL,Mariakapel Koudewater,
181631,BE,Boulevard André Delvaux 1,
181632,BE,"l'Imprimerie de la Banque Nationale",
181654,ES,Auditorio Abanca,
181714,ES,Calle del Conde Duque,
181734,HU,Napfényes Rendezvényterem,
181735,GB,Brunel Museum,
181820,DE,Maxhütte-Haidhof,
177741,NZ,Ātiu Creek Regional Park,
178116,GB,The Monastery ,
178202,NL,Café de Locomotief,
178609,BE,GC de zandloper,
179098,IT,Teatro Olimpico,
179169,ES,OCine Urban,
179183,NL,Cultura,
179241,ES,"Palau d'esports l'illa de Benidorm",
179260,GB,Drygate,
179833,IT,Under The Grand Chapiteau,
180049,NL,Het Mortelveld,
180473,ES,Pista de patinaje Madrid Rio,
180567,HU,MÁV Zenekar Próbaterem,
180627,ES,Skyfall Cocktail Club,
180883,NL,Eindhoven Concertzaal,
180945,CA,Soubois ,
180966,ES,Articus,
180992,BE,Hall Ceva,
180995,UY,Casa Mar ,
181034,GB,The Market Place,
181308,IE,North Wall Quay,
181383,NL,Pre-Reserved,
181389,NL,Freaky Piano Bar,
181419,GB,Basting house,
181427,NL,Wintercircus Hilversum,
181466,ES,Teatro Salesianos Santander ,
181492,HU,Pécsváradi Művelődési Központ,
181496,IT,Teatro Politeama,
181515,US,Greenwich House Theater,
181522,ES,Sala Jagger,
181531,GB,Loki,
181561,AU,Sydney Masonic Centre,
181611,ES,Sala-Museo Clan-Destino,
181700,NL,Helicopter,
181755,DE,Ballsporthalle,
181785,US,The Stanley hotel ,
181860,NL,Waalse Kerk Den Haag,
181962,DE,The Social Hub Berlin,
182024,NL,"Club Smithy's Palace",
182058,US,Colony,
182082,BE,Rio Club,
182084,ES," Jardines de Viveros - Carrer de Cavanilles, 1, ",
182092,SE,Arena Artica,
182174,NL,Elsom Reusel,
182290,IT,teatro secci,
182305,ES,Carpa Oeste,
182493,NL,Speelweide,
182670,NL,CT Oss,
185675,US,Golden Theatre,
186862,ES,Marmarela,
187490,ES,La daurada,
195026,BE,Gildenhuis,
195322,ES,Sala Sidecar,
196712,ES,Fundación mediterraneo,
3833,FR,Le Rocher de Palmer,Cenon
17616,NL,De Hofnar Aalten,
27209,NO,USF Verftet,
91632,AU,Ivy,
140275,NL,contactweg 68,
163015,DE,Freiheitshalle,
169195,BE,Plein Publiek Brussels,
178206,DE,Altes Postlager,
183353,IT,Teatro Diana,
194399,CH,Kraftwerk,
100088,NL,De Roode Leeuw,
157742,NL,Dominicuskerk,
180645,AD,GRANDVALIRA (PARKING EL CUBIL),
180321,IT,Teatro Nazionale CheBanca ,
160434,NL,Brouwerij Frontaal,
32436,GB,"Belgrade Theatre, Coventry",
138544,SE,Nöjesfabriken,
197657,BE,den dreef vorselaar,
170166,BE,Cultuurcentrum Evergem,
19711,GB,"St David's Hall",
3569,DE,Hanns-Martin-Schleyer-Halle,Stuttgart
16440,HU,Expresszó,
2137,NL,Theater Warenar,Wassenaar
83448,GB,Bolton Albert Halls,
149371,BE,Le Lac ,
150501,AU,Roundhouse,
182756,NL,The Oyster Club,
188141,NL,Sexyland World,
19719,GB,Royal & Derngate,
13295,PT,Coliseu do Porto,
5897,NL,De klinker,Winschoten
156801,AU,Ivy Pool Bar Sydney,
159704,SE,Hotel Rival,
172108,NL,De Meern,
22145,NL,Club Dauphine,
43873,GB,Manchester Central Convention Complex,
16215,GB,The Arch,
181712,IE,Hotel Doolin,
179787,GB,Greenworks,
2248,NL,Energiehuis,Dordrecht
11739,NL,Munttheater,
181908,NL,Another test venue,
28564,US,Great American Music Hall,
7339,NL,Oosterhout,Oosterhout
200204,BE,Cultuurhuis EMotia,
17068,NO,Folketeateret,
32380,DE,Starlight Express Theater,
168788,ES,Twenties,
48807,RO,Arenele Romane,
119111,SE,Kungliga Operan,
152430,AT,MBG Metastadt,
171433,ES,Plaza de toros de la Maestranza,
201391,NL,Farm in Diemen,
182144,DK,Kargo Bar & Club,
28287,ES,LAB Madrid,
10761,NL,Westerkerk,
16026,IT,Auditorium San Fedele,
24736,BE,Kunstencentrum Nona,
20125,GB,Queen Margarets Union,
20545,GB,Leeds Beckett Students Union,
26123,BE,Cultuurcentrum De Grote Post,
106574,BE,Centre Culturel de Woluwe-Saint-Pierre,
100078,NL,Nr.7even,
162836,ES,Almeria Teatre,
148163,GB,Westpoint Exeter,
145103,ES,Estación de Chamartín,
184809,ES,Sala El Sol,
178241,NL,De Schietclub,
199719,DE,Club Nachtflug Köln,
179089,BE,Dilbeek,
25436,GB,The Orchard Theatre,
105,NL,Huize Maas,Groningen
238,NL,Evenementenhal Gorinchem,Gorinchem
1211,BE,Spirito Brussels,Brussels
16874,HU,Hangvilla,
16639,GB,Liverpool Olympia,
14094,NL,Westlandtheater De Naald,
21068,DE,Groove Station,
40206,SE,Göteborgs Konserthus,
19798,GB,The Joiners,
31870,BE,Eden | Centre Culturel Régional De Charleroi,
9092,DE,Technikum,
22993,ES,Gran Teatre del Liceu,
11208,DE,Velodrom,
18535,ES,Sala X,
15971,BE,Rockerill,
16866,HU,Fezen Klub,
16124,HU,Pécsi Est,
19701,GB,De Montfort Hall,
31955,BE,Le Delta,
23009,ES,Teatro Principal Vitoria,
38585,BE,Futur,
38300,GB,Williamson Tunnels,
60945,CH,Viertel _Klub,
49081,HU,Budapesti Bábszínház,
79679,CH,Plaza Klub Zürich,
113254,CA,Théâtre Fairmount,
85656,GB,The Emporium - Coalville,
119002,CH,Théâtre du Léman,
119090,NL,Partycentrum Wijnand van Delft,
140252,BE,Stelplaats,
149455,GB,Gillian Lynne Theatre,
134796,HU,Turay Ida Színház,
156654,ES,Aquitania Teatre,
133653,NZ,Spark Arena,
144177,ES,Sala Mon Live,
149216,ES,Auditorio El Batel,
169890,NL,DS party- en eventcenter,
177142,DE,Roof 175,
178366,DE,Bellini,
195604,DE,Capitol Theater Düsseldorf ,
185526,CZ,Státní opera,
201975,ES,Palacio de los deportes,
183559,NL,Strand Noord 1,
184972,GB,The Lower Third,
32303,BE,Kasteel van Groot - Bijgaarden,
14143,IT,Arena del Mare,
566,NL,Club Champino,Drachten
9687,NL,Leeuwarden,
8617,DE,Sputnikhalle,
14564,CZ,Lucerna Velký sál,
